Restaurant;Item;Type;Breakfast;ServingSize;Calories;TotalFat;SaturatedFat;Cholesterol;Sodium;TotalCarbs;Fiber;Sugar;Protein
BurgerKing;Triple Whopper;Sandwich;No;455;1160;76;27;205;1110;51;3;11;68
BurgerKing;Whopper JR;Sandwich;No;147;370;21;5;40;520;31;1;6;14
BurgerKing;Chicken tenders;Other;No;135;370;21;4;30;1400;25;1;0;16
BurgerKing;Country Pork Sandwich;Sandwich;No;298;690;34;9;75;1910;51;4;10;28
BurgerKing;small French Fries;Side;No;128;340;17;3.5;0;480;44;0;0;4
BurgerKing;medium French Fries;Side;No;153;480;23;4.5;0;570;61;0;0;5
BurgerKing;large French fries;Side;No;190;580;28;6;0;710;74;0;0;6
BurgerKing;small Onion Rings;Side;No;91;310;17;3;0;840;36;0;4;4
BurgerKing;medium Onion Rings;Side;No;117;450;24;3.5;0;1080;52;0;5;5
BurgerKing;large Onion Rings;Side;No;142;510;27;4.5;0;1310;60;0;7;6
BurgerKing;Dutch Apple Pie;Dessert;No;107;320;13;6;0;310;47;1;23;2
BurgerKing;Hersheys Sundae Pie;Dessert;No;79;310;19;12;10;220;32;1;22;3
